date,hour,bus,captain,route,stop
2023-09-07,8,805,748,253,3375
2023-09-07,7,796,749,255,3282
2023-09-07,9,830,749,253,3272
2023-09-07,18,793,732,254,3086
2023-09-07,15,824,773,254,3030
2023-09-07,17,816,730,255,3069
2023-09-07,16,824,734,255,3097
2023-09-07,14,806,849,253,3096
2023-09-07,19,793,724,252,3108
2023-09-07,6,784,742,254,2955
2023-09-07,12,805,713,252,3156
2023-09-07,13,789,762,251,3059
2023-09-07,10,821,729,252,3109
2023-09-07,20,766,690,252,2982
2023-09-07,23,438,319,206,1893
2023-09-07,22,538,412,221,2430
2023-09-07,11,798,709,250,3074
2023-09-07,21,672,557,239,2569
2023-09-07,5,694,602,243,820
2023-09-07,0,367,201,172,0
2023-09-07,4,262,128,89,10
2023-09-07,1,217,39,43,0
2023-09-07,2,129,6,2,0
2023-09-07,3,126,5,1,0
2023-09-08,8,808,760,252,3259
2023-09-08,7,803,754,254,3316
2023-09-08,18,811,751,254,2394
2023-09-08,9,820,756,251,2662
2023-09-08,16,824,758,254,2594
2023-09-08,17,811,750,256,2414
2023-09-08,19,795,741,252,2575
2023-09-08,6,792,741,255,3003
2023-09-08,10,828,744,250,2734
2023-09-08,15,817,788,253,2518
2023-09-08,11,807,721,250,2662
2023-09-08,14,795,862,252,2634
2023-09-08,13,763,761,249,2618
2023-09-08,12,800,736,251,2597
2023-09-08,20,773,722,253,2562
2023-09-08,21,679,586,242,2528
2023-09-08,22,576,449,229,2307
2023-09-08,0,383,216,170,0
2023-09-08,5,695,599,245,790
2023-09-08,23,485,345,216,1725
2023-09-08,1,216,41,48,0
2023-09-08,4,254,133,88,5
2023-09-08,2,127,7,1,0
2023-09-08,3,127,6,1,0
2023-09-09,13,717,684,247,2879
2023-09-09,12,726,641,248,3017
2023-09-09,14,709,799,246,2939
2023-09-09,7,708,649,248,2816
2023-09-09,10,736,641,247,3015
2023-09-09,8,725,657,247,2845
2023-09-09,11,731,638,247,2959
2023-09-09,15,713,756,247,2743
2023-09-09,16,712,674,246,2875
2023-09-09,17,704,637,246,2797
2023-09-09,18,699,627,246,2914
